u	3	-5.10898
u	s	-3.25995
u	u	-1.62372
u	f	-4.28245
u	a	-2.93295
u	z	-4.74446
u	E	-5.26003
u	i	-2.56169
u	r	-4.47343
u	b	-3.64519
u	N	-4.57967
u	v	-5.3707
u	T	-5.94938
u	p	-4.57075
u	S	-5.70163
u	h	-4.39745
u	5	-5.30573
u	C	-5.03354
u	x	-6.3408
w	e	-3.33723
w	t	-4.02833
w	m	-3.05766
w	d	-4.96139
w	u	-2.63769
w	y	-3.33084
w	3	-4.77568
w	i	-3.06816
w	p	-4.53425
w	w	-1.61126
w	l	-3.85023
w	k	-4.36497
w	n	-3.03594
w	b	-2.80929
w	o	-2.63933
w	a	-1.77651
w	f	-3.24958
w	E	-4.52675
w	g	-5.44176
w	r	-4.98157
w	s	-4.40636
w	N	-5.43188
w	5	-4.67332
w	j	-5.35321
w	v	-3.93847
w	z	-4.7823
w	h	-6.0898
w	c	-5.26452
w	T	-6.39599
w	C	-5.98328
w	S	-5.88068
t	E	-4.89016
t	d	-3.73933
t	3	-4.84887
t	w	-3.75479
t	y	-5.01349
t	e	-3.01556
t	a	-2.8032
t	o	-2.76274
t	t	-1.41165
t	f	-5.12752
t	i	-2.21159
t	N	-5.01638
t	k	-3.85019
t	l	-4.30155
t	s	-3.12613
t	u	-2.14519
t	m	-4.92337
t	n	-2.91417
t	g	-4.55654
t	v	-5.46574
t	r	-3.96702
t	p	-4.77527
t	c	-4.17947
t	b	-4.08659
t	C	-4.34405
t	T	-5.03525
t	h	-3.8661
t	z	-5.05237
t	S	-5.07306
b	y	-4.77253
b	e	-2.44606
b	N	-4.32696
b	i	-2.88511
b	u	-3.43848
b	p	-4.07273
b	g	-4.2408
b	b	-1.4575
b	d	-3.92011
b	m	-3.41138
b	o	-2.90447
b	a	-2.14122
b	3	-4.69364
b	n	-3.40948
b	w	-2.59011
b	c	-5.72231
b	E	-3.32063
b	l	-2.98931
b	v	-3.56356
b	j	-5.6796
b	t	-4.48115
b	f	-4.88141
b	r	-4.44403
b	k	-4.10489
b	z	-4.93015
b	s	-4.7066
b	5	-5.75822
3	y	-3.80736
3	u	-3.08528
3	e	-2.39829
3	t	-3.56283
3	f	-4.66894
3	N	-4.45226
3	i	-2.00519
3	C	-5.90179
3	p	-4.30033
3	b	-2.86174
3	a	-2.15981
3	o	-2.46552
3	m	-3.02909
3	3	-5.08193
3	k	-3.70721
3	w	-3.21971
3	5	-4.99916
3	d	-3.92371
3	E	-3.74912
3	v	-4.77472
3	8	-7.92833
3	l	-2.83782
3	s	-4.12281
3	n	-2.85201
3	g	-3.93261
3	r	-4.07629
3	x	-6.35925
3	T	-5.83325
3	c	-5.28195
3	S	-5.71306
3	h	-4.86319
3	z	-4.9247
3	j	-5.22531
3	L	-7.15995
3	7	-6.90471
3	Z	-7.13146
